																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	0,951	149336	2732																						
2	1,672	20103	1942																						
3	2,057	30666	2556																						
4	2,295	87268	6630																						
5	2,594	36539	3513																						
6	2,815	413690	25260																						
7	6,786	22029	1372																						
8	7,548	38066	1327																						
9	8,77	166247	3722																						
10	9,944	164634	2833																						
11	11,066	64989112	2126718																						
12	13,224	376274	12491																						
13	14,563	1808587	55274																						
14	15,524	1616347	44753																						
15	17,782	595571	11493																						
16	18,576	249088	5435																						
Total		70763556	2308052																						
																									
																									
																									
																									
																									
																									
Sample Name : 2 uM																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,536	15138	811																						
2	2,204	3163	265																						
3	2,867	3720	644																						
4	3,542	200459	27280																						
5	6,006	4772	321																						
6	7,903	2004	74																						
7	11,173	256552	8282																						
8	14,666	5698	196																						
9	17,092	3500	105																						
10	17,272	1293	85																						
Total		496297	38063																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,536	15369	795																						
2	2,186	3288	282																						
3	2,869	3832	643																						
4	3,544	200408	27238																						
5	6,002	4827	314																						
6	7,873	2868	135																						
7	8,85	1406	69																						
8	11,175	256933	8285																						
9	14,624	5583	196																						
10	15,617	3245	137																						
11	17,302	5839	39																						
Total		503597	38132																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,068	2021	132																						
2	1,175	1757	121																						
3	1,548	1047	110																						
4	1,791	9882	1518																						
5	2,005	4629	513																						
6	2,332	39137	5324																						
7	2,489	28792	3138																						
8	2,878	195089	10032																						
9	3,54	449471	14109																						
10	4,627	49605	2379																						
11	5,675	63818	1647																						
12	5,758	8278	1663																						
13	5,834	66198	1661																						
14	6,807	83642	3553																						
15	7,567	138091	3808																						
16	8,042	7313	2444																						
17	8,87	332130	7093																						
18	10,001	290811	5379																						
19	11,198	124670581	3904231																						
20	13,313	719076	23499																						
21	14,652	3460900	104203																						
22	15,615	3078367	84345																						
23	17,874	1222374	22457																						
24	18,783	459442	9756																						
Total		135382451	4213116																						
																									
																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,908	1210332	117814																						
2	2,832	7471345	988104																						
3	3,532	10527533	1439555																						
4	6	256550	19257																						
5	8,432	3948	229																						
6	11,418	1517	76																						
7	12,229	35065	1423																						
8	14,376	3251	135																						
9	17,127	28533	836																						
Total		19538072	2567430																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,91	1206513	117948																						
2	2,833	7477628	988667																						
3	3,533	10433819	1441004																						
4	6,002	256032	19228																						
5	8,43	3290	211																						
6	11,406	1895	87																						
7	12,23	34682	1412																						
8	14,409	2948	134																						
9	17,131	29499	844																						
Total		19446305	2569535																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,137	14426	448																						
2	1,93	243878	28723																						
3	2,854	891347	59420																						
4	3,722	2701	130																						
5	5,905	9390	500																						
6	10,901	44164	1505																						
7	13,422	1735	78																						
8	17,641	315670	3855																						
Total		1523310	94660																						
																									
																									
																									
																									
																									
																									
Sample Name : GMP HY 1																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,594	26588	3006																						
2	2,213	8406	471																						
3	2,666	24763	1029																						
4	2,872	15884	1285																						
5	3,531	1893583	234330																						
6	3,743	386149	27363																						
7	5,972	57219	3407																						
8	7,557	1210	70																						
9	10,855	35663	1545																						
10	12,207	5072	234																						
11	14,416	5462	219																						
12	17,09	17355	543																						
Total		2477354	273502																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,596	27040	2979																						
2	2,21	7635	466																						
3	2,64	25163	1022																						
4	2,874	16928	1288																						
5	3,533	1888845	234582																						
6	3,745	388672	27345																						
7	5,974	57012	3404																						
8	7,608	1219	74																						
9	7,988	1128	64																						
10	8,423	1382	83																						
11	10,858	36616	1567																						
12	12,214	5611	238																						
13	14,39	5916	228																						
14	17,092	17283	545																						
Total		2480450	273885																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,122	128670	2742																						
2	1,605	40408	2145																						
3	2,324	28661	2176																						
4	2,685	151017	11300																						
5	3,555	7963	630																						
6	3,753	15591	708																						
7	5,993	5662	269																						
8	6,408	1306	91																						
9	6,806	12742	594																						
10	7,217	1071	218																						
11	7,578	21738	1061																						
12	8,513	105711	5639																						
13	10,879	17556537	727854																						
14	12,106	224370	7793																						
15	13,145	94422	2977																						
16	14,498	349640	11397																						
17	15,489	394793	11270																						
18	17,724	112955	3849																						
19	18,372	931215	22201																						
Total		20184474	814914																						
																									
																									
																									
																									
																									
																									
Sample Name : GMP HY 2																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,605	24969	2803																						
2	2,187	7200	453																						
3	2,563	24796	1055																						
4	2,867	18722	1349																						
5	3,171	10289	1008																						
6	3,531	2102671	267911																						
7	3,807	500062	28767																						
8	5,977	72699	4315																						
9	8,008	1091	31																						
10	10,86	27843	1230																						
11	12,208	5694	265																						
12	14,398	7679	286																						
13	17,094	22484	691																						
Total		2826198	310165																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,606	25590	2824																						
2	2,197	7325	464																						
3	2,58	24846	1064																						
4	2,869	17087	1356																						
5	3,157	11214	1013																						
6	3,532	2101793	268252																						
7	3,808	503509	28784																						
8	5,979	72797	4316																						
9	10,864	28410	1233																						
10	12,202	6302	282																						
11	13,233	1163	108																						
12	13,4	1218	117																						
13	13,842	1734	135																						
14	14,391	11505	362																						
15	17,099	21699	681																						
Total		2836192	310992																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,027	6279	277																						
2	1,133	3715	266																						
3	1,621	6720	643																						
4	2,349	17549	1694																						
5	2,705	131399	10523																						
6	3,583	5334	646																						
7	3,8	19301	726																						
8	6,003	4958	280																						
9	6,818	5714	386																						
10	7,581	13911	803																						
11	8,514	84491	4482																						
12	10,879	14091799	580833																						
13	12,106	108402	4672																						
14	13,145	60119	2212																						
15	14,498	290380	9644																						
16	15,486	320630	9358																						
17	17,749	128078	3836																						
18	18,368	760428	18024																						
Total		16059208	649307																						
																									
																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,867	519806	52624																						
2	2,836	6932515	884746																						
3	3,528	9736689	1342559																						
4	5,157	16891	660																						
5	5,99	231311	17117																						
6	7,075	1096	24																						
7	8,419	5416	320																						
8	10,39	1943	96																						
9	11,383	1058	75																						
10	12,206	33810	1391																						
11	14,395	3663	160																						
12	17,101	36641	1051																						
Total		17520838	2300825																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,868	518153	52597																						
2	2,837	6927659	883070																						
3	3,53	9661103	1341302																						
4	5,145	17165	662																						
5	5,991	231538	17128																						
6	7,125	1194	56																						
7	8,423	4710	306																						
8	11,423	1355	74																						
9	12,216	33217	1390																						
10	14,403	4096	161																						
11	17,094	36214	1056																						
Total		17436405	2297802																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,043	16591	427																						
2	1,883	129501	12858																						
3	2,854	549959	40553																						
4	3,699	6043	369																						
5	5,895	9215	489																						
6	10,871	36676	1224																						
7	13,44	1029	56																						
8	17,025	8073	268																						
9	17,612	80908	2323																						
10	18,098	48290	1559																						
Total		886285	60126																						
																									
																									
																									
																									
																									
																									
Sample Name : 5 uM																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,548	26314	1620																						
2	2,047	3482	285																						
3	2,18	2887	313																						
4	2,483	1820	223																						
5	2,608	2603	272																						
6	2,856	11270	904																						
7	3,187	4749	363																						
8	3,544	496729	70719																						
9	6,024	21839	1236																						
10	6,769	1370	86																						
11	11,041	638520	22535																						
12	13,282	4032	137																						
13	14,563	19035	601																						
14	15,512	14940	447																						
15	17,194	1817	107																						
16	17,858	6474	169																						
Total		1257883	100016																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,551	26142	1620																						
2	1,992	3592	272																						
3	2,191	2765	318																						
4	2,508	2153	235																						
5	2,617	2343	269																						
6	2,857	11066	900																						
7	3,197	4357	352																						
8	3,546	496854	70498																						
9	5,588	1904	94																						
10	6,025	26076	1315																						
11	6,764	7631	280																						
12	7,133	3390	218																						
13	7,486	1641	124																						
14	11,042	637737	22528																						
15	13,175	1386	126																						
16	13,263	2493	139																						
17	14,567	19924	608																						
18	15,557	15013	458																						
19	17,839	2887	108																						
Total		1269355	100461																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,078	129400	2475																						
2	1,745	50684	5347																						
3	2,104	133627	15739																						
4	2,316	390865	31206																						
5	2,508	53321	15386																						
6	2,631	184285	20703																						
7	2,843	2440963	160081																						
8	4,338	1590	123																						
9	4,836	1305	103																						
10	6,81	77488	5322																						
11	7,57	68578	4324																						
12	8,759	945642	20501																						
13	10,284	1295156	20559																						
14	11,104	306126813	10238618																						
15	13,254	1808251	60953																						
16	14,599	8612749	267001																						
17	15,565	7659002	216146																						
18	17,826	2830822	54840																						
19	18,55	1247347	28764																						
Total		334057889	11168193																						
																									
																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,893	559162	54939																						
2	2,84	6925886	897571																						
3	3,525	9660605	1344515																						
4	4,711	2996	105																						
5	5,988	232423	17339																						
6	8,417	4719	299																						
7	10,38	3141	143																						
8	11,374	1295	65																						
9	12,193	33776	1393																						
10	14,342	4269	160																						
11	17,078	36538	1076																						
Total		17464810	2317605																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,894	561264	55041																						
2	2,842	6929210	896995																						
3	3,527	9695218	1342845																						
4	4,757	3662	173																						
5	5,99	232250	17360																						
6	7,45	1080	91																						
7	8,411	5229	322																						
8	10,355	3479	136																						
9	11,354	1202	62																						
10	12,2	32967	1386																						
11	14,339	3211	147																						
12	17,071	37408	1083																						
Total		17506180	2315640																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,142	40045	1141																						
2	1,897	188102	18975																						
3	2,866	620765	38961																						
4	3,66	4462	306																						
5	5,892	8593	464																						
6	10,889	59170	1674																						
7	13,374	1058	52																						
8	17,545	600602	6464																						
Total		1522798	68037																						
																									
Sample Name : MUCIN NHY 1																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,744	144900	13758																						
2	2,552	65141	5635																						
3	2,867	6793866	968272																						
4	3,528	9738336	1372381																						
5	5,973	341913	17471																						
6	6,925	4313	200																						
7	7,7	1261	97																						
8	8,449	4718	275																						
9	10,857	7654	373																						
10	12,213	36721	1615																						
11	14,396	15767	617																						
12	17,12	136593	4168																						
Total		17291183	2384860																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,746	143190	13736																						
2	2,554	63375	5498																						
3	2,87	6772123	965228																						
4	3,53	9651742	1369990																						
5	5,975	334502	17399																						
6	8,449	4743	278																						
7	10,871	7466	381																						
8	12,22	36631	1613																						
9	14,378	15862	612																						
10	17,121	135759	4160																						
Total		17165394	2378896																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,01	141963	2763																						
2	1,758	65018	3994																						
3	2,492	2632	252																						
4	2,902	445252	33338																						
5	5,895	31685	1703																						
6	6,814	1809	125																						
7	7,631	24859	1583																						
8	8,518	737555	39042																						
9	10,892	5024518	207391																						
10	12,069	1646	79																						
11	13,158	8783	516																						
12	13,36	17506	592																						
